Name,GSM532843,GSM532844,GSM532845,GSM532846,GSM532847,GSM532848,GSM532849,GSM532850,GSM532851,GSM532852,GSM532860,GSM532861,GSM532862,GSM532863,GSM532864,GSM532865,GSM532866,GSM532867,GSM532868
ebv-miR-BART11-5p,-10.856573,-17,-34.58432,-31.863281,-54.427452,-50.501976,-22.933334,-56.345238,-42.184315,-21.658821,19,-19.348,-21,-3.3784866,-6.349022,0.38671875,-19.406376,-30.337257,-17.44664
ebv-miR-BART12,-22.207031,27,18.927994,8.761902,-87.67729,28.554688,40.739304,18.739304,27.850983,29.682358,4,7.315178,-1,-2.3618622,3.223526,13.301956,127.77251,33.816406,17.597656
ebv-miR-BART12,30.285713,54,-28.188232,34.177856,11.28125,14.289688,48.60547,-8.360001,62.28978,110.23697,30,10.466667,9,3.2382812,22.462738,10.253906,79.190674,26.515747,5.0590515
ebv-miR-BART12,61.44314,43,6.972229,21.140625,46.04706,33.871094,71.97476,19.964142,39.498627,17.768631,62,3.7470818,22,25.249008,17.7098,7.937004,111.388885,22.803925,5.4031677
ebv-miR-BART12,25.5625,37,-31.529877,3.932541,17.215683,24.356857,65.55731,12.043304,41.09163,48.712006,59,-5.2304688,33,-8.40712,40.576477,31.243134,101.08038,35.902344,-13.980164
ebv-miR-BART13,334.19644,745,1021.8429,899.79395,1311.9166,844.7185,739.35034,665.9416,378.184,3061.7163,185,342.3989,1072,783.7981,915.68225,48.734375,572.4519,948.19763,972.39465
ebv-miR-BART13,263.55844,807,1048.2924,866.8706,1153.2343,830.99634,717.66187,634.8345,494.60437,2903.207,177,305.9549,1219,812.6852,1043.7074,35.121094,637.02795,994.7346,972.1116
ebv-miR-BART13,304.3889,865,1009.078,905.36646,1244.9541,771.3791,788.22144,635.3993,428.1377,2744.8074,118,309.29572,1171,755.6359,992.08374,83.009476,643.39014,1039.7751,893.33734
ebv-miR-BART13,238.63666,883,914.22327,742.08374,1193.2449,739.60425,734.5846,536.0698,385.2353,2072.3132,158,304.0855,1084,767.5137,1134.4087,61.15599,610.14844,1100.1945,880.48083
ebv-miR-BART13*,-4.75,-18,-55.62152,-74.50981,-10.613281,-59.438248,-23.945099,-45.496094,-18.68526,92.61925,11,-8.027889,-20,-63.089493,-81.59608,-85.615685,-1.7725525,-62.83203,-87.21176
ebv-miR-BART13*,-16.035433,-5,-43.57086,-34.02745,-25.73307,-42.309807,-27.059052,-43.464844,-18.348,112.26816,9,-17.846457,2,-6.6171875,-66.400795,-32.102364,0.83529663,-40.52529,-49.121567
ebv-miR-BART13*,-6.921875,2,-43.683594,-29.480469,-29.39608,-56.226562,-6.755905,-73.94141,-4.9101562,81.80374,-12,-10.529411,-15,-49.271652,-59.131477,-19.515747,-8.722656,-30.62846,-39.066406
ebv-miR-BART13*,-8.154762,-5,-42.33725,-63.117188,-26.916992,-53.248,8.035294,-67.12891,-18.007965,113.77533,7,-13.313725,-8,-46.52549,-85.87109,-36.643135,-9.3046875,-12.200806,-29.531746
ebv-miR-BART1-3p,9.326771,38,201.1969,139.37128,94.69284,10.9140625,0.49212646,37.430283,-21.34127,446.53705,6,3.868,967,81.698975,62.177155,-30.980392,-6.5708694,11.40625,55.486267
ebv-miR-BART1-3p,2.104,82,178.18,154.46503,111.91272,-14.031372,-14.734375,19.776894,10.7725525,452.84314,72,20.14008,442,140.46698,109.23755,1.5595245,5.2839966,42.803925,83.60748
ebv-miR-BART1-3p,914.6498,153,184.8707,144.01364,76.3199,-13.853752,24.980545,25.377502,1.2509842,384.23618,19,14.205532,571,108.703705,1980.1953,-5.834648,16.339844,55.145737,129.81955
ebv-miR-BART1-3p,17.265625,127,184.57812,146.81647,55.412704,-7.450981,23.613281,-13.082352,12.486168,239.08307,42,10.952942,560,132.93384,112.967316,-87.34375,24.910156,60.63948,102.02432
ebv-miR-BART14,-20.79283,38,-11.605469,-27.898438,291.76077,-54.441406,-26.10196,-52.609375,42.012085,10.064255,1013,-17.654903,32,1.7725525,-45.65355,-22.97255,67.00391,-17.08268,-26.658821
ebv-miR-BART14,-10.11508,1113,20.76471,7.8945312,-41.458824,-27.509956,-26.231369,-4.007843,37.90625,391.1753,103,18.75,46,0.69685364,-13.358566,-19.388885,96.535095,2.2109375,45.835297
ebv-miR-BART14,-0.004016876,27,-10.671997,8.49411,-39.015747,-41.835297,-24.063744,-64.478264,11.039215,5.1882324,118,-11.709164,47,2.6640625,-22.080002,-22.601562,77.98915,13.003983,8.724411
ebv-miR-BART14,-3.0669289,7,-4.5507812,8.609558,-46.83203,-62.314743,-15.730469,-36.988327,-14.4140625,12.420235,16,-8.296875,24,-2.2200012,-32.265625,-13.462746,35.713585,146.61363,-4.490196
ebv-miR-BART14*,7.2319984,48,193.0636,152.63333,-13.062988,-15.44706,-5.019684,9.847389,-2.427452,593.8571,-24,-0.724411,196,80.91373,26.21875,-47.753906,12.527344,5.6210938,54.127182
ebv-miR-BART14*,-0.89019585,107,187.54443,129,-10.15686,-49.22441,-52.509727,-4.003952,-25.414062,509.41504,30,16.937008,501,55.783035,25.141174,-8.925781,5.9803925,-4.467743,110.221756
ebv-miR-BART14*,23.136719,135,175.36841,98.727264,-20.39608,-49.233463,-7.3764725,-15.768631,89.24124,266.8302,38,12.6166,527,35.36821,12.5097275,-20.019684,-0.93333435,8.956696,75.88646
ebv-miR-BART14*,2.4291344,744,147.8356,98.26044,-14.635292,-3.9527588,22.513618,-29.215683,-23.149021,212.14969,37,-0.94163513,549,74.92392,60.208954,-7.1953125,0.16078186,30.494118,68.80199
ebv-miR-BART15,-17.425198,-7,-29.472229,-64.138885,-54.223526,-54.621094,-48.298042,-29.984314,-2.4980392,22.533333,0,-10.039841,21,-32.7381,-68.86771,-42.490196,0.08695984,-19.181103,-34.338585
ebv-miR-BART15,-8.667999,0,-20.89804,-37.367188,-58.264,-58.85882,-64.09843,-31.44358,-10.060001,-5.511902,20,-18.062746,30,-30.462746,-44.23529,-28.231369,-17.133858,-15.805447,-47.070312
ebv-miR-BART15,-12.262745,2,-32.49019,-36.711456,-51.98828,-41.492188,-27.878433,-54.92063,-36.20703,0.7637787,-2,-11.625984,30,-14.666668,-32.633858,-10.099602,-14.200787,-16.36863,0.9206314
ebv-miR-BART15,-5.1137257,9,-26.070312,-37.842514,-44.66797,-42.192158,-34.152943,-41.011765,-38.232285,-22.347656,50,-12,22,-12.400002,-29.984062,-25.653385,-28.584312,-9.775589,-21.070312
