Name,GSM532843,GSM532844,GSM532845,GSM532846,GSM532847,GSM532848,GSM532849,GSM532850,GSM532851,GSM532852,GSM532860,GSM532861,GSM532862,GSM532863,GSM532864,GSM532865,GSM532866,GSM532867,GSM532868
ebv-miR-BART1-5p ,0.67490005,29.5,-17.17946645,-22.0881768,-27.239756,-46.306864,-29.35563475,-54.31632175,-5.7346286,46.15920635,-3.75,-2.941307025,22,-0.91480255,-33.95311125,-16.8836937,-25.0490515,-19.65088925,-3.18700605
hsa-miR-16-1* ,0.706456125,18.25,61.29776875,29.988678,118.833519,-42.429224,1.61225905,-34.6665277,-8.3243895,126.82624,-2.5,44.18239605,24.5,219.44697,65.3556245,-21.69999675,3.017578125,-9.703486425,170.5115425
hsa-miRPlus-F1127 ,1.147147175,123.25,52.842576,55.43155525,6.682826925,-11.30439532,-12.59429725,-14.182455,14.26386273,63.14587075,12.25,1.643731093,26.25,58.0846445,7.4020695,-30.24186975,27.07155025,50.4853735,59.36738275
hsa-miR-1247 ,1.17213725,397,-33.893421,-48.88901975,-40.89175025,-24.47135775,-21.29631775,-32.3447918,-1.17116725,-21.68170575,53.75,-3.325644575,80.75,-14.83082768,-60.98195925,-28.5724105,-14.07518295,-1.87255101,-21.10677413
hsa-miR-1238 ,1.221531375,106.25,-33.8373105,-33.98808663,-72.89245725,-51.9304315,-43.4521665,-37.37389625,-15.96303663,-29.23230575,33.25,-9.468742,83.75,-27.06048025,-59.03807925,-27.46162725,-13.9204753,-16.75586325,-33.98178325
hsa-miR-453 ,1.25619525,25,6.7791444,-32.195484,-4.543186125,-29.72135775,-26.34747836,-28.54724675,11.4708977,92.7407145,149.75,-1.993922225,173,-7.556665325,-37.16444,-28.38303225,-2.304044725,-33.5437295,-27.14018425
hsa-miRPlus-F1023 ,1.299666438,36.5,36.4789275,39.70923993,-18.11945166,-18.985598,6.8225615,-14.27217708,3.39842415,37.68543225,319.75,10.6073457,10,28.25252705,0.057731625,-12.44979286,-0.33947195,30.21273225,23.13120068
hsa-miRPlus-E1015 ,1.310843625,21.75,1.02367775,5.96286775,-33.090088,-55.06514,-33.8524895,-28.548791,12.9604395,37.45863925,-44.5,7.134109975,5.25,1.0676424,-20.73199285,-29.82935538,48.80687425,97.619886,7.005495125
hsa-miRPlus-F1074 ,1.376434825,115.75,208.25601,195.1748675,177.54496,-11.5601122,121.82251,-14.7378829,-6.8548622,251.4104925,42.75,1.36760045,53.75,1163.305525,250.998475,-44.05521925,69.6937235,41.88230313,717.197985
hsa-miR-598 ,1.385578638,240.75,-3.31373227,-12.07124708,-55.434782,-57.160728,-32.97224625,-39.22899375,-24.34179713,-21.48619043,360,1.523209,1.5,23.51800125,-27.46390543,-6.413847,-19.19771488,-6.80428625,0.442373313
hsa-miRPlus-E1082 ,1.3941455,67.25,61.80804475,69.671529,4.84591125,16.4844436,2.82197925,41.48292125,51.64274225,23.46889675,17.5,6.147668825,28.25,81.80005375,52.05474075,3.130859325,79.43629575,75.3141825,56.93864825
hsa-miR-409-3p ,1.423487425,13.75,45.74585825,-1.52400975,50.28871925,-23.757189,-17.0858533,-32.2647465,-16.17091565,61.29912535,-15,5.044219143,149.5,54.060688,-5.0396137,-38.5430335,-8.038604875,-16.78745344,50.1839235
hsa-miR-942 ,1.6574397,46.5,-11.0888405,-13.35893263,-28.39258175,-20.44768538,-17.07525813,-16.46160695,12.43765048,5.88451205,73.5,8.0742183,5,30.66193793,-31.60561925,-13.4162808,17.33396518,23.20143935,-6.7174055
hsa-miRPlus-E1107 ,1.6608233,43.5,-9.494483975,-21.1750945,-44.7051885,-46.377661,-31.01129,-33.4772065,-5.2608632,10.27437603,-12.25,-6.589240985,3,-6.954353375,-42.07656825,-35.0655415,5.823302805,-14.3042137,-22.329668
hsa-miRPlus-F1236 ,1.74880675,406.25,-13.57054925,-19.3295555,1.019840425,-15.9244824,-11.78795825,-0.26907915,29.626047,13.42668525,75.5,-2.932542253,95.25,-6.5712965,-40.4189695,-43.47325025,3.572725225,14.811621,-25.14750093
hsa-miR-657 ,1.764148768,32,32.87622775,30.6546095,-5.1609992,-12.45026775,22.26595474,-3.863633875,28.8578415,39.5664905,3,3.902916925,35.75,22.17622775,-8.836841575,-7.80755225,33.90022675,40.7352735,37.27926613
hsa-miR-18b* ,1.864585,255.5,-16.16270825,-34.42765105,-52.3728185,-20.48962225,-34.64956025,-23.646147,-5.929618825,946.9707405,649.25,3.891934915,11.75,-14.34480875,-50.5155235,-40.1195575,-7.8297711,-5.698480875,57.73878833
hsa-miR-124 ,1.9655605,66.25,28.04491825,11.9723435,4.0849723,-52.22478225,-36.44322375,-30.73174475,18.7061022,37.5113875,522.75,18.82380775,34.5,78.05911775,-14.23729325,27.8222159,-4.55125995,117.47659,13.51376335
hsa-miRPlus-E1067 ,2.11413485,6.25,-10.05521763,-15.2273335,-30.61552975,-65.10015575,-54.35410825,-45.02884875,-19.10513114,20.9030211,1139.25,14.187331,-17.5,-10.72906493,-31.80964463,-41.391552,-11.42938218,-14.228221,-0.5441189
hsa-miR-496 ,2.336468125,-22,-44.4456015,-50.4524955,-58.8736765,-61.8857395,-51.84755475,-60.2885145,-26.5995255,1.860527,-13.25,-2.54392525,-30.75,-11.31320778,-51.30135875,-38.7696735,-34.54952525,-39.51004425,11.15098198
hsa-miR-1207-3p ,2.5037378,83.5,-21.279289,-34.932067,-67.68347425,-40.58767725,-34.158437,-37.53299925,-10.91712093,-9.7214602,12.75,-8.16548675,-14.5,-15.7681047,-53.77822775,-28.3838309,-12.50745763,-1.7511063,-13.82286468
hsa-miRPlus-F1067 ,2.5265212,259.5,-8.15860355,-40.731117,-53.47738975,-33.524265,-28.8634205,-20.18840025,-5.0876235,6.66582455,244.75,0.994596075,-9.25,-10.2981643,-36.004879,-33.329275,-5.881507825,15.06898675,-16.97759613
hsa-miR-1296 ,2.8169785,13.5,-23.6186677,-32.91604982,-50.18795725,-19.9672815,-8.307954625,-25.3606776,-8.083932975,39.6926855,156.5,3.23501485,44.75,-25.20701818,-56.05080325,-20.76384225,23.94533925,3.118911725,-32.134033
hsa-miRPlus-F1206 ,2.906537,174,13.84992975,9.4250718,-36.87316125,-14.690706,-22.94320388,-15.02819075,0.17246645,14.8023395,79.75,4.5688229,2,14.70935057,-14.7678126,-13.91108525,11.0268785,14.6359444,-2.643449775
hsa-miRPlus-F1240 ,2.914134125,294.75,244.491425,280.2002275,150.9580375,45.2657165,30.606987,84.1063025,104.4800935,665.806815,164,31.539282,724.75,191.70977,159.8618175,-26.78038025,139.5262175,208.8831725,174.28666
spike_control_h ,3.046098144,4514.583333,9506.491946,10949.64824,1960.547492,1799.242665,1559.654881,1661.853092,603.3437098,423.787406,814.6041667,4.074272677,12155.83333,10429.28372,8387.649721,8445.434523,674.016414,5228.802106,8387.513402
ebv-miR-BART3 ,3.29135935,347.75,192.7003925,158.830095,129.1087725,85.92573075,32.76200625,93.78293,16.204365,1119.056088,37,21.933402,1415.75,103.9261135,87.84954775,-21.50864733,92.2954035,80.91297125,144.6883275
hsa-miR-125a-3p ,3.70423845,104.5,27.21241769,20.63563925,-18.05361975,-27.63116275,-21.51220543,-27.86091975,21.10630812,75.8657345,54.75,6.502671275,76.25,75.6947135,-8.633817675,-1.687370375,1.263374325,16.73799875,44.6341205
